section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg]
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368624452431,615.494,739.02,1,,,3.792308637758283,-14.58512056029435
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368632457431,619.282,735.915,1,,,4.0796631944841675,-14.350997144522047
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368636439431,619.547,734.129,1,,,4.098290827620753,-14.21719270871362
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368640426431,619.703,731.133,1,,,4.107538278685745,-13.992814270130403
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368644469431,619.612,727.972,1,,,4.097704307592974,-13.756171275588583
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368652445431,617.838,723.927,1,,,3.9587583386039586,-13.454002946620857
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368656560431,613.638,722.277,1,,,3.636753253455286,-13.3321453792123
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368660452431,615.935,720.463,1,,,3.810675460631976,-13.195377080431935
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368664421431,615.887,717.31,1,,,3.804543923138495,-12.9593240918722
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368672588431,616.678,711.267,1,,,3.8602672662175808,-12.506505748667262
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368676682431,622.663,708.775,1,,,4.314087755390148,-12.317637218370972
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368680447431,624.991,705.391,1,,,4.488489553351611,-12.0632757907815
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368684438431,627.928,702.01,1,,,4.709057002700607,-11.808931210289561
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368692478431,625.924,694.569,1,,,4.550617233116141,-11.252787307389722
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368696449431,626.405,690.906,1,,,4.584295409462796,-10.978369577631609
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368700526431,625.363,687.604,1,,,4.50268840055522,-10.731551589052195
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368704422431,624.219,685.336,1,,,4.414283600469661,-10.562189823460438
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368712800431,629.812,678.079,1,,,4.832869345984161,-10.016835973176674
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368716432431,629.765,674.224,1,,,4.826538561851046,-9.728269099791321
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368720444431,626.728,669.855,1,,,4.593692546596744,-9.40222040530106
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368725428431,624.806,664.206,1,,,4.444791982054135,-8.97986283979655
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368732573431,622.793,659.574,1,,,4.28996683786724,-8.6336120057735
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368736553431,624.374,656.979,1,,,4.4079054458240785,-8.438839098543303
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368740432431,624.001,655.473,1,,,4.378906167689359,-8.326134612048739
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368744611431,624.697,652.297,1,,,4.429708690690165,-8.088105868271168
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368752449431,621.69,640.434,1,,,4.197079257868021,-7.200460158829175
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368756415431,620.631,634.131,1,,,4.114479459640594,-6.72859641196811
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368760730431,620.959,631.522,1,,,4.138125876335929,-6.533082025685561
